"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.22, 2020"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","","A1101","A110101","A110102","A1102","A110201","A110202","A1231","A161001","A1700","A5101","A5102","A5103","A5104","A6101","A6102","A6103","A6104","A6105","A6106","A6107","A7101","A9101","A9201"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A1101_Total population (Both sexes)[person]","A110101_Total population (Male)[person]","A110102_Total population (Female)[person]","A1102_Japanese population (Both sexes)[person]","A110201_Japanese population (Male)[person]","A110202_Japanese population (Female)[person]","A1231_Median age[age]","A161001_Ratio of never married persons (population 15 years old and over)[%]","A1700_Foreigners (Total)[person]","A5101_Number of in-migrants from other municipalities[person]","A5102_Number of out-migrants to other municipalities[person]","A5103_Number of in-migrants from other prefectures (All nationalities)[person]","A5104_Number of out-migrants to other prefectures (All nationalities)[person]","A6101_Population not working or going to school[person]","A6102_Population working or schooling in the same shi, ku, machi or mura[person]","A6103_Outflow population (Population working or schooling in other shi, ku, machi or mura of the same prefecture)[person]","A6104_Outflow population (Population working or schooling in other prefecture)[person]","A6105_Inflow population (Population living in another shi, ku, machi or mura of the same prefecture)[person]","A6106_Inflow population (Population living in another prefecture)[person]","A6107_Daytime population[person]","A7101_Number of households (Total)[households]","A9101_Marriages[pairs]","A9201_Divorces[pairs]"
"2015100000","2015","01213","Hokkaido Tomakomai-shi","","172,737","84,605","88,132","172,161","84,301","87,860","47.0","24.80263","405","6,106","6,079","***","***","64,838","81,343","7,563","229","7,997","209","173,151","78,298","968","398"
"2015100000","2015","01214","Hokkaido Wakkanai-shi","","36,380","17,809","18,571","36,082","17,721","18,361","50.5","23.48659","298","1,331","1,762","***","***","13,241","18,597","264","15","343","49","36,493","16,486","188","73"
"2015100000","2015","01215","Hokkaido Bibai-shi","","23,035","10,753","12,282","23,000","10,736","12,264","57.8","24.18276","33","530","760","***","***","10,459","9,540","2,435","25","2,133","13","22,721","10,173","74","39"
"2015100000","2015","01216","Hokkaido Ashibetsu-shi","","14,676","6,667","8,009","14,634","6,657","7,977","61.6","20.51622","42","323","499","***","***","7,294","6,146","1,088","25","800","9","14,372","6,862","37","15"
"2015100000","2015","01217","Hokkaido Ebetsu-shi","","120,636","57,391","63,245","120,094","57,109","62,985","48.9","27.44653","391","4,537","4,697","***","***","46,203","39,830","27,829","270","15,238","276","108,051","51,983","362","188"
"2015100000","2015","01218","Hokkaido Akabira-shi","","11,105","5,025","6,080","11,051","5,004","6,047","62.4","22.28181","54","256","422","***","***","5,775","3,867","1,316","6","1,743","34","11,560","4,980","29","20"
"2015100000","2015","01219","Hokkaido Mombetsu-shi","","23,109","10,954","12,155","22,705","10,863","11,842","54.3","21.75190","310","797","994","***","***","8,811","12,266","600","18","587","17","23,095","11,127","105","66"
"2015100000","2015","01220","Hokkaido Shibetsu-shi","","19,914","9,382","10,532","19,815","9,311","10,504","56.7","18.76200","57","487","805","***","***","8,295","10,104","959","13","974","6","19,922","8,650","63","31"
"2015100000","2015","01221","Hokkaido Nayoro-shi","","29,048","14,072","14,976","28,926","14,011","14,915","49.1","24.09404","118","1,236","1,573","***","***","10,936","15,917","1,021","21","1,176","23","29,205","13,086","158","54"
"2015100000","2015","01222","Hokkaido Mikasa-shi","","9,076","4,075","5,001","9,059","4,063","4,996","62.8","22.18356","17","318","436","***","***","4,894","2,785","1,350","4","1,430","2","9,154","4,254","24","16"
"2015100000","2015","01223","Hokkaido Nemuro-shi","","26,917","12,862","14,055","26,633","12,807","13,826","52.0","23.04932","253","791","1,087","***","***","9,930","15,850","155","58","264","98","27,066","11,383","129","59"
"2015100000","2015","01224","Hokkaido Chitose-shi","","95,648","48,588","47,060","95,212","48,398","46,814","42.4","29.39194","435","5,630","5,556","***","***","33,117","44,933","10,225","159","13,742","132","99,138","40,638","621","243"
"2015100000","2015","01225","Hokkaido Takikawa-shi","","41,192","19,475","21,717","41,054","19,402","21,652","52.8","22.11041","80","2,003","2,091","***","***","16,730","17,017","5,343","45","4,444","27","40,275","18,651","227","80"
"2015100000","2015","01226","Hokkaido Sunagawa-shi","","17,694","8,216","9,478","17,666","8,201","9,465","56.0","22.24064","23","621","783","***","***","7,790","6,561","2,732","19","3,536","5","18,484","7,858","61","29"
"2015100000","2015","01227","Hokkaido Utashinai-shi","","3,585","1,652","1,933","3,581","1,650","1,931","63.6","23.00832","4","69","157","***","***","2,035","803","739","3","379","3","3,225","1,665","8","4"
"2015100000","2015","01228","Hokkaido Fukagawa-shi","","21,909","10,118","11,791","21,846","10,087","11,759","58.2","20.95185","49","761","880","***","***","9,615","10,296","1,691","12","1,963","12","22,181","9,669","68","28"
"2015100000","2015","01229","Hokkaido Furano-shi","","22,936","10,783","12,153","22,742","10,709","12,033","51.4","22.57710","140","883","1,093","***","***","8,314","12,756","1,241","15","1,850","46","23,576","9,929","100","36"
"2015100000","2015","01230","Hokkaido Noboribetsu-shi","","49,625","23,533","26,092","49,500","23,483","26,017","53.5","21.92790","92","1,925","2,142","***","***","21,602","15,377","10,225","50","3,589","11","42,950","21,681","190","119"
"2015100000","2015","01231","Hokkaido Eniwa-shi","","69,702","33,781","35,921","69,450","33,669","35,781","45.9","26.93307","190","3,126","2,858","***","***","26,059","25,745","14,110","144","10,408","62","65,918","28,846","288","136"
"2015100000","2015","01233","Hokkaido Date-shi","","34,995","16,279","18,716","34,893","16,255","18,638","54.1","23.46761","97","1,260","1,284","***","***","15,083","15,353","4,245","23","2,616","8","33,351","15,054","130","68"
"2015100000","2015","01234","Hokkaido Kitahiroshima-shi","","59,064","28,273","30,791","58,912","28,205","30,707","50.2","23.56514","139","2,367","2,425","***","***","23,413","17,005","16,044","137","15,183","45","58,111","23,551","192","119"
"2015100000","2015","01235","Hokkaido Ishikari-shi","","57,436","27,548","29,888","57,232","27,474","29,758","50.4","22.85824","203","2,251","2,222","***","***","22,273","17,997","13,374","129","16,457","69","60,459","22,632","195","137"
"2015100000","2015","01236","Hokkaido Hokuto-shi","","46,390","21,641","24,749","46,299","21,614","24,685","47.9","24.25046","90","1,664","1,867","***","***","17,645","15,343","11,217","176","6,865","21","41,883","18,508","171","116"
"2015100000","2015","01303","Hokkaido Tobetsu-cho","","17,278","8,314","8,964","17,237","8,302","8,935","52.6","26.62798","35","637","851","***","***","6,224","6,367","4,071","34","3,930","34","17,137","7,327","40","19"
"2015100000","2015","01304","Hokkaido Shinshinotsu-mura","","3,329","1,604","1,725","3,328","1,604","1,724","51.9","27.37733","1","114","108","***","***","1,161","1,658","343","5","524","1","3,506","1,070","13","5"
"2015100000","2015","01331","Hokkaido Matsumae-cho","","7,337","3,283","4,054","7,306","3,280","4,026","63.1","17.53352","31","248","341","***","***","3,539","3,464","192","117","95","3","7,126","3,571","14","7"
"2015100000","2015","01332","Hokkaido Fukushima-cho","","4,422","2,047","2,375","4,392","2,042","2,350","61.3","20.12717","30","100","182","***","***","2,208","1,888","218","98","171","5","4,282","2,039","13","12"
"2015100000","2015","01333","Hokkaido Shiriuchi-cho","","4,653","2,306","2,347","4,649","2,305","2,344","55.8","21.30277","4","130","204","***","***","1,773","2,448","401","21","483","4","4,718","2,003","13","7"
"2015100000","2015","01334","Hokkaido Kikonai-cho","","4,547","2,150","2,397","4,527","2,149","2,378","62.0","20.81170","20","115","175","***","***","2,165","1,740","590","39","589","8","4,515","2,140","11","5"
"2015100000","2015","01337","Hokkaido Nanae-cho","","28,120","12,820","15,300","28,087","12,809","15,278","52.6","21.31128","32","1,080","1,081","***","***","12,174","7,818","7,292","88","3,410","14","24,164","11,141","94","53"
"2015100000","2015","01343","Hokkaido Shikabe-cho","","4,226","2,053","2,173","4,161","2,052","2,109","56.2","21.72541","65","136","217","***","***","1,788","1,971","430","23","373","0","4,146","1,660","18","8"
"2015100000","2015","01345","Hokkaido Mori-machi","","15,946","7,324","8,622","15,757","7,316","8,441","55.0","21.48515","189","404","650","***","***","6,524","8,369","870","47","1,102","8","16,139","6,628","65","46"
"2015100000","2015","01346","Hokkaido Yakumo-cho","","17,252","8,401","8,851","17,162","8,382","8,780","52.3","23.53134","87","668","917","***","***","6,968","9,403","600","67","714","7","17,306","7,523","83","52"
"2015100000","2015","01347","Hokkaido Oshamambe-cho","","5,926","2,869","3,057","5,858","2,854","3,004","56.5","27.52954","68","575","556","***","***","2,482","3,192","216","6","284","60","6,048","2,685","11","5"
"2015100000","2015","01361","Hokkaido Esashi-cho","","8,248","3,910","4,338","8,241","3,907","4,334","54.6","24.19507","7","493","655","***","***","3,539","3,957","622","34","1,259","1","8,852","3,752","25","20"
"2015100000","2015","01362","Hokkaido Kaminokuni-cho","","4,876","2,193","2,683","4,866","2,190","2,676","58.9","17.20824","10","119","196","***","***","2,255","1,878","664","49","261","0","4,424","2,173","7","10"
"2015100000","2015","01363","Hokkaido Assabu-cho","","4,049","1,918","2,131","4,033","1,915","2,118","58.7","16.88456","16","123","157","***","***","1,641","1,926","422","11","518","1","4,135","1,765","19","6"
"2015100000","2015","01364","Hokkaido Otobe-cho","","3,906","1,791","2,115","3,904","1,790","2,114","59.6","18.12749","2","119","142","***","***","1,783","1,483","611","17","211","0","3,489","1,729","16","10"
"2015100000","2015","01367","Hokkaido Okushiri-cho","","2,690","1,372","1,318","2,684","1,372","1,312","56.9","19.30185","6","157","205","***","***","1,158","1,523","2","2","28","2","2,716","1,270","10","2"
"2015100000","2015","01370","Hokkaido Imakane-cho","","5,628","2,680","2,948","5,626","2,680","2,946","56.6","20.96200","2","173","224","***","***","2,222","2,928","416","16","289","2","5,487","2,280","21","5"
"2015100000","2015","01371","Hokkaido Setana-cho","","8,473","3,952","4,521","8,443","3,949","4,494","61.1","17.39637","30","227","316","***","***","3,805","4,287","347","10","360","4","8,480","3,862","34","13"
"2015100000","2015","01391","Hokkaido Shimamaki-mura","","1,499","734","765","1,498","734","764","59.0","26.54097","1","48","81","***","***","692","653","140","3","49","0","1,405","661","5","1"
"2015100000","2015","01392","Hokkaido Suttsu-cho","","3,137","1,528","1,609","3,101","1,527","1,574","57.1","27.92761","36","134","169","***","***","1,464","1,501","150","2","207","0","3,192","1,420","12","5"
"2015100000","2015","01393","Hokkaido Kuromatsunai-cho","","3,082","1,415","1,667","3,078","1,413","1,665","55.7","26.18089","4","135","173","***","***","1,410","1,459","193","0","176","1","3,066","1,336","10","6"
"2015100000","2015","01394","Hokkaido Rankoshi-cho","","4,843","2,322","2,521","4,827","2,314","2,513","57.5","19.06308","16","161","191","***","***","1,963","2,367","458","6","291","2","4,672","2,086","16","4"
"2015100000","2015","01395","Hokkaido Niseko-cho","","4,958","2,512","2,446","4,812","2,418","2,394","48.5","22.82920","143","269","282","***","***","1,819","2,262","685","5","600","12","4,880","2,274","31","6"
"2015100000","2015","01396","Hokkaido Makkari-mura","","2,103","1,037","1,066","2,091","1,030","1,061","53.6","21.42088","12","68","102","***","***","718","1,170","197","1","287","1","2,193","855","7","2"
"2015100000","2015","01397","Hokkaido Rusutsu-mura","","1,907","951","956","1,854","935","919","46.6","28.92363","53","89","111","***","***","508","1,267","124","0","500","7","2,290","915","4","5"
"2015100000","2015","01398","Hokkaido Kimobetsu-cho","","2,294","1,171","1,123","2,282","1,167","1,115","56.7","25.33981","12","102","144","***","***","906","1,025","315","0","279","2","2,260","1,123","13","5"
"2015100000","2015","01399","Hokkaido Kyogoku-cho","","3,187","1,553","1,634","3,174","1,550","1,624","54.9","18.75450","11","91","120","***","***","1,276","1,497","364","2","456","1","3,278","1,281","13","9"
"2015100000","2015","01400","Hokkaido Kutchan-cho","","15,018","7,538","7,480","14,826","7,407","7,419","46.0","23.24084","161","979","1,041","***","***","5,157","7,986","1,005","8","1,661","15","15,681","6,974","86","20"
"2015100000","2015","01401","Hokkaido Kyowa-cho","","6,224","3,243","2,981","6,220","3,242","2,978","50.3","21.64873","4","229","339","***","***","2,111","2,649","1,419","5","972","12","5,784","2,854","38","11"
"2015100000","2015","01402","Hokkaido Iwanai-cho","","13,042","6,174","6,868","13,008","6,160","6,848","54.3","22.56371","26","424","609","***","***","5,411","5,547","1,756","26","967","27","12,254","6,228","52","27"
"2015100000","2015","01403","Hokkaido Tomari-mura","","1,771","888","883","1,769","887","882","54.3","20.82540","2","76","74","***","***","713","858","188","2","1,485","13","3,079","886","13","3"
"2015100000","2015","01404","Hokkaido Kamoenai-mura","","1,004","462","542","1,004","462","542","62.7","21.27430","0","23","30","***","***","461","414","125","4","49","0","924","434","3","1"
"2015100000","2015","01405","Hokkaido Shakotan-cho","","2,115","1,004","1,111","2,115","1,004","1,111","61.8","20.18779","0","58","95","***","***","900","929","234","3","112","0","1,990","994","11","0"
"2015100000","2015","01406","Hokkaido Furubira-cho","","3,188","1,518","1,670","3,161","1,516","1,645","59.4","24.87188","27","53","99","***","***","1,406","1,403","343","3","265","0","3,107","1,446","11","4"
"2015100000","2015","01407","Hokkaido Niki-cho","","3,498","1,625","1,873","3,355","1,623","1,732","57.0","25.27893","143","120","139","***","***","1,283","1,672","489","2","623","2","3,632","1,480","11","5"
"2015100000","2015","01408","Hokkaido Yoichi-cho","","19,607","9,063","10,544","19,492","9,056","10,436","56.3","23.43056","115","698","754","***","***","8,641","8,548","2,247","14","1,643","38","19,027","8,769","76","26"
"2015100000","2015","01409","Hokkaido Akaigawa-mura","","1,121","566","555","1,100","551","549","51.8","22.91242","21","67","69","***","***","358","650","110","3","226","8","1,242","534","4","2"
"2015100000","2015","01423","Hokkaido Nanporo-cho","","7,927","3,739","4,188","7,892","3,734","4,158","53.4","22.17422","35","208","363","***","***","2,954","2,543","2,242","11","1,180","0","6,854","2,973","27","13"
"2015100000","2015","01424","Hokkaido Naie-cho","","5,674","2,659","3,015","5,666","2,656","3,010","57.8","22.18344","8","175","188","***","***","2,510","2,130","1,005","13","1,382","4","6,042","2,466","18","7"
"2015100000","2015","01425","Hokkaido Kamisunagawa-cho","","3,479","1,575","1,904","3,470","1,573","1,897","63.7","21.33748","9","98","171","***","***","2,052","713","672","1","358","1","3,165","1,744","9","6"
"2015100000","2015","01427","Hokkaido Yuni-cho","","5,314","2,536","2,778","5,304","2,533","2,771","57.4","20.08386","10","142","181","***","***","2,026","2,387","875","3","889","1","5,326","2,149","12","6"
"2015100000","2015","01428","Hokkaido Naganuma-cho","","11,076","5,293","5,783","11,061","5,282","5,779","54.7","21.50527","12","382","424","***","***","3,999","5,108","1,767","16","1,842","5","11,140","4,257","46","17"
"2015100000","2015","01429","Hokkaido Kuriyama-cho","","12,344","5,740","6,604","12,283","5,720","6,563","56.1","20.78631","61","391","483","***","***","5,110","5,248","1,639","6","1,677","3","12,379","5,186","39","16"
"2015100000","2015","01430","Hokkaido Tsukigata-cho","","4,577","2,841","1,736","4,558","2,824","1,734","53.2","29.41725","19","151","189","***","***","2,596","1,700","238","1","608","1","4,947","1,466","5","7"
"2015100000","2015","01431","Hokkaido Urausu-cho","","1,985","956","1,029","1,981","954","1,027","59.4","21.32065","4","57","76","***","***","754","957","228","1","237","2","1,995","850","8","0"
"2015100000","2015","01432","Hokkaido Shintotsukawa-cho","","6,831","3,096","3,735","6,825","3,095","3,730","57.4","18.29737","6","186","190","***","***","2,868","2,441","1,459","5","967","0","6,334","2,570","16","12"
"2015100000","2015","01433","Hokkaido Moseushi-cho","","3,091","1,451","1,640","3,083","1,444","1,639","61.7","16.32290","8","75","101","***","***","1,349","1,259","481","1","474","0","3,083","1,269","10","6"
"2015100000","2015","01434","Hokkaido Chippubetsu-cho","","2,513","1,177","1,336","2,511","1,177","1,334","59.8","17.90718","2","51","100","***","***","1,125","995","388","2","272","0","2,395","1,017","9","5"
