"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.22, 2020"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","","A1101","A110101","A110102","A1102","A110201","A110202","A1231","A161001","A1700","A5101","A5102","A5103","A5104","A6101","A6102","A6103","A6104","A6105","A6106","A6107","A7101","A9101","A9201"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A1101_Total population (Both sexes)[person]","A110101_Total population (Male)[person]","A110102_Total population (Female)[person]","A1102_Japanese population (Both sexes)[person]","A110201_Japanese population (Male)[person]","A110202_Japanese population (Female)[person]","A1231_Median age[age]","A161001_Ratio of never married persons (population 15 years old and over)[%]","A1700_Foreigners (Total)[person]","A5101_Number of in-migrants from other municipalities[person]","A5102_Number of out-migrants to other municipalities[person]","A5103_Number of in-migrants from other prefectures (All nationalities)[person]","A5104_Number of out-migrants to other prefectures (All nationalities)[person]","A6101_Population not working or going to school[person]","A6102_Population working or schooling in the same shi, ku, machi or mura[person]","A6103_Outflow population (Population working or schooling in other shi, ku, machi or mura of the same prefecture)[person]","A6104_Outflow population (Population working or schooling in other prefecture)[person]","A6105_Inflow population (Population living in another shi, ku, machi or mura of the same prefecture)[person]","A6106_Inflow population (Population living in another prefecture)[person]","A6107_Daytime population[person]","A7101_Number of households (Total)[households]","A9101_Marriages[pairs]","A9201_Divorces[pairs]"
"2015100000","2015","07505","Fukushima-ken Furudono-machi","","5,373","2,610","2,763","5,328","2,607","2,721","56.3","20.39265","45","86","130","***","***","2,026","2,225","1,075","30","445","3","4,716","1,661","19","5"
"2015100000","2015","07521","Fukushima-ken Miharu-machi","","18,304","9,089","9,215","18,235","9,073","9,162","53.6","24.25408","54","391","581","***","***","6,816","5,369","5,498","147","3,106","41","15,806","6,230","57","22"
"2015100000","2015","07522","Fukushima-ken Ono-machi","","10,475","5,115","5,360","10,403","5,093","5,310","53.9","23.60734","65","252","325","***","***","3,695","4,246","2,195","69","1,328","14","9,553","3,425","38","7"
"2015100000","2015","07541","Fukushima-ken Hirono-machi","","4,319","2,750","1,569","4,302","2,744","1,558","53.4","26.71736","17","329","308","***","***","1,353","1,441","1,466","30","2,140","440","5,403","2,435","25","9"
"2015100000","2015","07542","Fukushima-ken Naraha-machi","","975","846","129","970","842","128","54.5","31.14035","5","114","159","***","***","160","296","447","2","2,173","303","3,002","839","35","13"
"2015100000","2015","07543","Fukushima-ken Tomioka-machi","","0","0","0","0","0","0","-","-","0","55","254","***","***","0","0","0","0","2,704","257","2,961","0","76","19"
"2015100000","2015","07544","Fukushima-ken Kawauchi-mura","","2,021","1,222","799","2,003","1,217","786","60.3","26.03093","18","119","65","***","***","805","680","514","10","344","58","1,899","1,082","9","0"
"2015100000","2015","07545","Fukushima-ken Okuma-machi","","0","0","0","0","0","0","-","-","0","77","154","***","***","0","0","0","0","3,230","471","3,701","0","64","9"
"2015100000","2015","07546","Fukushima-ken Futaba-machi","","0","0","0","0","0","0","-","-","0","32","95","***","***","0","0","0","0","248","74","322","0","28","3"
"2015100000","2015","07547","Fukushima-ken Namie-machi","","0","0","0","0","0","0","-","-","0","56","239","***","***","0","0","0","0","1,428","169","1,597","0","79","14"
"2015100000","2015","07548","Fukushima-ken Katsurao-mura","","18","12","6","18","12","6","64.0","27.77778","0","9","14","***","***","8","7","3","0","917","47","979","9","10","0"
"2015100000","2015","07561","Fukushima-ken Shinchi-machi","","8,218","4,135","4,083","8,176","4,111","4,065","51.3","22.28207","42","328","214","***","***","3,053","2,706","1,788","591","1,181","506","7,526","2,699","46","14"
"2015100000","2015","07564","Fukushima-ken Iitate-mura","","41","7","34","41","7","34","89.3","0.00000","0","59","93","***","***","41","0","0","0","2,974","231","3,246","1","31","8"
"2015100000","2015","08201","Ibaraki-ken Mito-shi","","270,783","132,799","137,984","266,098","130,544","135,554","45.7","27.01421","2,492","10,532","10,386","***","***","95,038","117,250","34,315","3,063","64,958","3,150","301,513","117,590","1,531","528"
"2015100000","2015","08202","Ibaraki-ken Hitachi-shi","","185,054","92,595","92,459","183,548","91,892","91,656","48.9","26.83446","1,198","3,708","5,212","***","***","74,812","77,603","14,657","1,500","28,108","1,747","198,752","78,625","776","275"
"2015100000","2015","08203","Ibaraki-ken Tsuchiura-shi","","140,804","70,101","70,703","138,092","68,916","69,176","46.8","27.90040","2,534","5,725","6,170","***","***","50,782","51,217","24,182","6,799","41,172","3,740","154,735","57,257","731","315"
"2015100000","2015","08204","Ibaraki-ken Koga-shi","","140,946","70,354","70,592","138,923","69,421","69,502","47.0","27.85048","1,931","3,653","3,926","***","***","50,545","55,500","9,304","19,116","8,237","10,946","131,709","52,571","679","276"
"2015100000","2015","08205","Ibaraki-ken Ishioka-shi","","76,020","37,530","38,490","75,093","37,184","37,909","50.6","25.73784","746","2,015","2,381","***","***","27,693","25,285","16,614","1,593","11,425","432","69,670","27,288","366","127"
"2015100000","2015","08207","Ibaraki-ken Yuki-shi","","51,594","25,689","25,905","50,119","24,874","25,245","47.8","24.90077","1,404","1,352","1,521","***","***","18,751","16,904","6,391","7,475","6,058","4,294","48,080","18,267","249","99"
"2015100000","2015","08208","Ibaraki-ken Ryugasaki-shi","","78,342","38,959","39,383","76,631","38,135","38,496","46.7","27.65768","1,070","2,428","2,621","***","***","27,390","22,319","13,352","9,146","11,463","1,895","69,202","30,472","308","144"
"2015100000","2015","08210","Ibaraki-ken Shimotsuma-shi","","43,293","21,603","21,690","42,022","20,981","21,041","46.8","25.81566","1,261","1,257","1,417","***","***","15,045","15,361","10,045","1,239","9,995","659","42,663","15,036","237","80"
"2015100000","2015","08211","Ibaraki-ken Joso-shi","","61,483","30,692","30,791","58,966","29,389","29,577","48.3","25.68707","2,285","1,397","2,042","***","***","21,167","20,866","11,823","2,624","15,274","1,664","63,974","20,600","243","97"
"2015100000","2015","08212","Ibaraki-ken Hitachiota-shi","","52,294","25,382","26,912","52,180","25,348","26,832","55.8","23.35703","99","985","1,275","***","***","21,371","16,061","13,470","470","5,159","161","43,674","19,436","144","72"
"2015100000","2015","08214","Ibaraki-ken Takahagi-shi","","29,638","14,598","15,040","29,492","14,517","14,975","52.1","25.93315","140","830","1,039","***","***","12,370","9,083","7,036","396","5,025","379","27,610","11,751","120","45"
"2015100000","2015","08215","Ibaraki-ken Kitaibaraki-shi","","44,412","22,003","22,409","44,141","21,872","22,269","52.8","25.38118","240","975","1,095","***","***","17,680","16,434","6,722","2,320","3,481","1,862","40,713","16,871","165","63"
"2015100000","2015","08216","Ibaraki-ken Kasama-shi","","76,739","37,510","39,229","76,163","37,251","38,912","49.7","25.55749","500","1,915","2,188","***","***","28,215","26,252","17,496","1,225","10,253","476","68,747","28,202","332","134"
"2015100000","2015","08217","Ibaraki-ken Toride-shi","","106,570","52,489","54,081","105,374","51,978","53,396","50.4","26.41092","1,133","3,446","3,464","***","***","42,893","25,521","12,132","20,341","12,304","6,388","92,789","43,477","385","173"
"2015100000","2015","08219","Ibaraki-ken Ushiku-shi","","84,317","41,672","42,645","82,655","40,915","41,740","45.6","25.35385","1,127","3,429","3,123","***","***","31,739","19,920","18,884","8,873","13,253","1,774","71,587","33,223","419","118"
"2015100000","2015","08220","Ibaraki-ken Tsukuba-shi","","226,963","114,774","112,189","213,960","108,989","104,971","41.2","30.01363","6,131","12,478","10,585","***","***","64,993","92,672","27,208","13,073","46,643","10,839","244,164","98,190","1,300","402"
"2015100000","2015","08221","Ibaraki-ken Hitachinaka-shi","","155,689","78,270","77,419","154,580","77,814","76,766","45.0","25.31990","980","4,993","5,021","***","***","56,807","59,279","32,110","1,677","27,055","1,330","150,287","61,104","832","272"
"2015100000","2015","08222","Ibaraki-ken Kashima-shi","","67,879","35,089","32,790","67,006","34,731","32,275","47.3","24.98997","773","2,367","2,264","***","***","26,190","27,253","8,520","1,401","11,205","3,234","72,397","27,450","333","130"
"2015100000","2015","08223","Ibaraki-ken Itako-shi","","29,111","14,415","14,696","28,728","14,228","14,500","50.3","26.36306","330","690","785","***","***","11,104","8,601","6,794","1,513","3,549","675","25,028","10,547","111","51"
"2015100000","2015","08224","Ibaraki-ken Moriya-shi","","64,753","32,742","32,011","63,989","32,402","31,587","42.5","26.15941","614","2,927","2,711","***","***","21,418","16,649","10,558","12,885","9,704","2,601","53,615","24,867","342","105"
"2015100000","2015","08225","Ibaraki-ken Hitachiomiya-shi","","42,587","20,953","21,634","42,363","20,876","21,487","54.6","24.15609","188","962","1,179","***","***","17,064","15,778","7,985","866","6,131","357","40,224","16,005","160","52"
"2015100000","2015","08226","Ibaraki-ken Naka-shi","","54,276","26,422","27,854","54,045","26,318","27,727","49.9","23.55175","166","1,649","1,569","***","***","19,868","13,742","16,803","490","9,895","194","47,072","20,025","218","90"
"2015100000","2015","08227","Ibaraki-ken Chikusei-shi","","104,573","51,663","52,910","102,959","50,992","51,967","49.2","25.30745","1,511","2,084","2,661","***","***","38,159","41,281","14,827","6,616","12,820","4,017","99,967","35,683","413","188"
"2015100000","2015","08228","Ibaraki-ken Bando-shi","","54,087","27,298","26,789","52,753","26,559","26,194","48.0","25.23895","1,249","1,013","1,288","***","***","18,032","21,141","9,483","3,448","7,524","1,968","50,648","17,327","187","104"
"2015100000","2015","08229","Ibaraki-ken Inashiki-shi","","42,810","21,218","21,592","42,088","20,886","21,202","53.9","25.21508","712","833","1,181","***","***","15,714","12,999","7,300","2,939","6,019","1,757","40,347","14,453","154","85"
"2015100000","2015","08230","Ibaraki-ken Kasumigaura-shi","","42,147","21,331","20,816","41,336","20,950","20,386","48.2","26.60168","798","1,326","1,552","***","***","15,010","12,433","12,353","1,154","7,064","325","36,029","15,142","173","75"
"2015100000","2015","08231","Ibaraki-ken Sakuragawa-shi","","42,632","20,963","21,669","42,468","20,907","21,561","52.0","25.13332","158","705","1,059","***","***","16,001","15,295","8,823","1,521","5,209","866","38,363","13,585","148","69"
"2015100000","2015","08232","Ibaraki-ken Kamisu-shi","","94,522","48,705","45,817","92,290","47,698","44,592","43.8","26.60036","2,183","2,916","2,856","***","***","30,320","43,818","6,008","5,759","8,595","8,597","99,947","37,221","509","228"
"2015100000","2015","08233","Ibaraki-ken Namegata-shi","","34,909","17,213","17,696","34,159","16,857","17,302","53.8","23.68277","749","603","807","***","***","11,925","14,760","7,400","664","4,753","276","31,874","11,115","132","55"
"2015100000","2015","08234","Ibaraki-ken Hokota-shi","","48,147","24,303","23,844","46,249","23,129","23,120","51.6","25.63235","1,874","1,032","1,114","***","***","16,304","20,433","8,916","290","5,051","116","44,108","17,430","186","87"
"2015100000","2015","08235","Ibaraki-ken Tsukubamirai-shi","","49,136","24,685","24,451","48,744","24,538","24,206","43.8","24.21231","335","2,898","1,730","***","***","17,912","11,486","11,186","5,923","9,036","1,509","42,572","18,137","255","76"
"2015100000","2015","08236","Ibaraki-ken Omitama-shi","","50,911","25,696","25,215","50,097","25,268","24,829","47.2","26.65217","790","1,562","1,818","***","***","17,255","18,301","12,373","834","11,597","300","49,601","17,491","261","111"
"2015100000","2015","08302","Ibaraki-ken Ibaraki-machi","","32,921","16,216","16,705","32,583","16,030","16,553","52.1","25.17311","326","1,143","1,143","***","***","12,264","9,979","9,756","233","7,301","74","30,307","11,356","130","56"
"2015100000","2015","08309","Ibaraki-ken Oarai-machi","","16,886","8,279","8,607","16,264","7,985","8,279","52.0","27.43755","592","368","554","***","***","6,303","5,822","4,290","88","4,369","101","16,978","6,661","63","32"
"2015100000","2015","08310","Ibaraki-ken Shirosato-machi","","19,800","9,633","10,167","19,728","9,614","10,114","54.7","24.44569","71","414","566","***","***","6,911","5,412","6,503","230","1,909","53","15,029","7,066","64","22"
"2015100000","2015","08341","Ibaraki-ken Tokai-mura","","37,713","19,031","18,682","37,484","18,915","18,569","44.3","24.32424","209","1,270","1,391","***","***","14,203","11,419","10,432","468","10,222","309","37,344","14,494","206","60"
"2015100000","2015","08364","Ibaraki-ken Daigo-machi","","18,053","8,765","9,288","17,968","8,747","9,221","60.5","21.40385","74","258","409","***","***","7,562","7,742","1,792","648","758","615","16,986","6,733","49","24"
"2015100000","2015","08442","Ibaraki-ken Miho-mura","","15,842","8,048","7,794","15,615","7,969","7,646","49.1","25.87663","227","492","763","***","***","6,220","4,816","4,160","536","3,446","248","14,840","5,958","76","36"
"2015100000","2015","08443","Ibaraki-ken Ami-machi","","47,535","23,496","24,039","46,881","23,261","23,620","45.8","27.31493","594","1,841","1,847","***","***","16,734","13,951","12,134","2,427","10,619","734","44,327","18,801","204","101"
"2015100000","2015","08447","Ibaraki-ken Kawachi-machi","","9,168","4,495","4,673","9,122","4,478","4,644","55.2","25.24782","45","163","290","***","***","3,528","2,268","2,027","1,314","1,038","245","7,110","2,950","24","21"
"2015100000","2015","08521","Ibaraki-ken Yachiyo-machi","","22,021","11,309","10,712","21,211","10,640","10,571","48.0","24.60584","760","439","591","***","***","7,362","7,526","5,798","757","3,911","365","19,742","6,799","97","35"
"2015100000","2015","08542","Ibaraki-ken Goka-machi","","8,786","4,408","4,378","8,661","4,356","4,305","51.3","27.38845","78","195","271","***","***","3,068","2,715","393","2,324","1,981","4,174","12,224","2,894","20","11"
"2015100000","2015","08546","Ibaraki-ken Sakai-machi","","24,517","12,217","12,300","24,028","11,955","12,073","47.7","25.43764","483","604","760","***","***","7,966","8,872","4,702","1,847","5,018","1,144","24,130","8,061","117","46"
"2015100000","2015","08564","Ibaraki-ken Tone-machi","","16,313","7,981","8,332","16,141","7,883","8,258","59.4","22.54477","150","395","468","***","***","7,288","2,714","2,443","2,872","913","262","12,173","6,138","49","20"
"2015100000","2015","09201","Tochigi-ken Utsunomiya-shi","","518,594","258,960","259,634","496,618","250,955","245,663","44.2","26.81986","5,278","17,158","16,916","***","***","174,322","228,441","47,916","9,145","67,374","8,801","537,708","217,419","3,082","941"
"2015100000","2015","09202","Tochigi-ken Ashikaga-shi","","149,452","73,161","76,291","146,451","71,652","74,799","50.0","26.40138","2,855","3,050","3,386","***","***","56,753","62,157","6,567","18,675","8,643","12,199","145,052","60,186","623","256"
"2015100000","2015","09203","Tochigi-ken Tochigi-shi","","159,211","78,209","81,002","156,531","76,912","79,619","49.6","25.72254","2,558","3,274","3,414","***","***","59,362","64,939","22,544","6,338","19,775","3,441","153,545","57,838","621","264"
"2015100000","2015","09204","Tochigi-ken Sano-shi","","118,919","58,507","60,412","116,968","57,568","59,400","48.9","26.03776","1,744","2,606","2,909","***","***","44,454","51,684","11,739","6,672","12,500","5,318","118,326","46,390","527","177"
"2015100000","2015","09205","Tochigi-ken Kanuma-shi","","98,374","48,488","49,886","97,119","47,896","49,223","48.2","25.23608","1,012","1,864","2,260","***","***","35,121","43,848","15,583","1,115","14,269","635","96,580","35,079","453","171"
"2015100000","2015","09206","Tochigi-ken Nikko-shi","","83,386","40,431","42,955","82,808","40,257","42,551","53.2","25.12023","505","1,814","2,250","***","***","31,196","39,097","10,001","817","5,818","599","78,985","32,658","358","160"
"2015100000","2015","09208","Tochigi-ken Oyama-shi","","166,760","84,100","82,660","161,450","81,381","80,069","44.5","27.75624","4,389","5,698","5,356","***","***","56,590","63,121","18,778","15,572","21,157","13,315","166,882","65,792","858","310"
"2015100000","2015","09209","Tochigi-ken Moka-shi","","79,539","39,910","39,629","76,711","38,596","38,115","45.5","25.07829","2,723","1,863","2,076","***","***","26,526","33,243","12,462","3,043","12,559","2,707","79,300","27,949","376","146"
"2015100000","2015","09210","Tochigi-ken Ohtawara-shi","","75,457","37,673","37,784","74,163","37,045","37,118","46.8","28.14693","889","2,199","2,329","***","***","25,089","31,898","12,671","706","15,957","1,145","79,182","28,753","314","121"
"2015100000","2015","09211","Tochigi-ken Yaita-shi","","33,354","16,589","16,765","33,046","16,467","16,579","49.8","25.82459","274","918","1,045","***","***","12,576","11,582","8,335","368","7,204","193","32,048","12,342","134","50"
"2015100000","2015","09213","Tochigi-ken Nasushiobara-shi","","117,146","58,148","58,998","115,059","57,253","57,806","45.8","25.14423","1,597","3,494","3,708","***","***","38,383","50,038","19,295","1,863","13,705","1,193","110,886","45,608","594","226"
"2015100000","2015","09214","Tochigi-ken Sakura-shi","","44,901","23,368","21,533","44,651","23,262","21,389","44.7","26.60044","235","1,665","1,576","***","***","17,395","14,825","11,349","414","8,688","278","42,104","15,648","197","74"
"2015100000","2015","09215","Tochigi-ken Nasukarasuyama-shi","","27,047","13,340","13,707","26,867","13,308","13,559","54.6","24.70919","180","487","696","***","***","10,728","10,161","5,746","231","4,134","285","25,489","9,439","68","39"
"2015100000","2015","09216","Tochigi-ken Shimotsuke-shi","","59,431","29,376","30,055","58,876","29,170","29,706","44.9","27.92375","459","2,230","2,365","***","***","20,309","19,000","16,185","3,040","11,093","1,421","52,720","21,394","246","84"
"2015100000","2015","09301","Tochigi-ken Kaminokawa-machi","","31,046","15,951","15,095","30,757","15,800","14,957","43.7","26.63201","221","1,110","1,034","***","***","9,480","10,507","9,389","747","9,532","791","31,233","10,777","133","60"
"2015100000","2015","09342","Tochigi-ken Mashiko-machi","","23,281","11,542","11,739","23,113","11,487","11,626","50.4","24.66696","155","494","660","***","***","8,266","7,291","6,608","565","2,870","188","19,166","7,787","85","30"
"2015100000","2015","09343","Tochigi-ken Motegi-machi","","13,188","6,443","6,745","13,135","6,429","6,706","58.2","21.82550","53","231","396","***","***","5,197","4,441","3,052","361","1,517","348","11,640","4,572","38","18"
"2015100000","2015","09344","Tochigi-ken Ichikai-machi","","11,720","5,939","5,781","11,596","5,896","5,700","49.1","25.36324","120","392","339","***","***","3,748","3,318","4,038","154","2,680","108","10,316","4,109","43","14"
"2015100000","2015","09345","Tochigi-ken Haga-machi","","15,189","7,635","7,554","15,062","7,592","7,470","50.9","22.98842","107","362","358","***","***","5,120","5,104","4,405","157","17,736","1,088","29,451","4,957","56","26"
"2015100000","2015","09361","Tochigi-ken Mibu-machi","","39,951","19,643","20,308","39,561","19,427","20,134","46.8","26.84019","330","1,157","1,205","***","***","13,798","12,861","11,007","815","8,086","607","36,822","15,258","162","66"
"2015100000","2015","09364","Tochigi-ken Nogi-machi","","25,292","12,556","12,736","25,043","12,448","12,595","49.1","25.38576","202","808","853","***","***","9,648","6,063","3,000","5,905","2,226","2,749","21,362","9,530","109","36"
"2015100000","2015","09384","Tochigi-ken Shioya-machi","","11,495","5,619","5,876","11,435","5,613","5,822","55.1","23.93901","60","197","303","***","***","4,192","3,592","3,504","80","1,603","33","9,547","3,696","34","16"
"2015100000","2015","09386","Tochigi-ken Takanezawa-machi","","29,639","15,326","14,313","29,225","15,128","14,097","44.4","27.40581","312","1,255","1,471","***","***","9,317","8,190","9,724","344","5,367","288","25,226","11,521","193","39"
"2015100000","2015","09407","Tochigi-ken Nasu-machi","","24,919","12,186","12,733","24,759","12,134","12,625","56.4","24.44285","153","793","954","***","***","9,702","9,625","4,028","634","5,143","909","26,309","8,564","96","38"
"2015100000","2015","09411","Tochigi-ken Nakagawa-machi","","16,964","8,526","8,438","16,881","8,500","8,381","56.2","23.20120","83","287","471","***","***","6,574","6,373","3,738","154","2,028","219","15,319","5,831","52","26"
"2015100000","2015","10201","Gumma-ken Maebashi-shi","","336,154","164,136","172,018","330,440","161,473","168,967","47.7","26.32560","3,213","9,518","9,598","***","***","117,942","147,041","44,721","5,730","61,319","4,398","351,420","136,900","1,600","606"
"2015100000","2015","10202","Gumma-ken Takasaki-shi","","370,884","181,601","189,283","366,791","179,898","186,893","46.3","26.66819","3,369","11,563","10,925","***","***","134,825","161,360","47,356","10,908","56,737","8,299","377,656","150,180","1,850","627"
"2015100000","2015","10203","Gumma-ken Kiryu-shi","","114,714","55,327","59,387","113,351","54,789","58,562","52.2","26.66018","1,271","2,318","2,891","***","***","43,752","44,395","19,804","3,362","18,058","2,933","112,539","46,034","409","191"
"2015100000","2015","10204","Gumma-ken Isesaki-shi","","208,814","104,234","104,580","199,299","99,424","99,875","44.4","27.22656","8,889","5,640","5,493","***","***","70,398","85,586","33,981","6,351","31,097","5,515","205,094","80,110","1,111","442"
"2015100000","2015","10205","Gumma-ken Ota-shi","","219,807","111,610","108,197","211,927","107,481","104,446","44.3","26.94547","7,345","6,393","6,064","***","***","75,760","94,462","24,097","10,911","34,335","16,552","235,686","86,267","1,100","419"
"2015100000","2015","10206","Gumma-ken Numata-shi","","48,676","23,489","25,187","48,213","23,310","24,903","51.3","23.30442","394","1,074","1,285","***","***","17,409","22,438","6,940","356","5,948","151","47,479","19,178","218","74"
"2015100000","2015","10207","Gumma-ken Tatebayashi-shi","","76,667","38,266","38,401","74,757","37,378","37,379","47.1","26.85158","1,562","2,106","2,088","***","***","28,166","27,826","9,866","7,466","9,500","6,720","75,555","30,219","329","131"
"2015100000","2015","10208","Gumma-ken Shibukawa-shi","","78,391","38,135","40,256","77,821","37,947","39,874","52.1","26.07082","450","1,860","2,117","***","***","29,585","30,200","15,057","804","12,688","304","75,522","28,812","285","124"
"2015100000","2015","10209","Gumma-ken Fujioka-shi","","65,708","31,983","33,725","65,198","31,744","33,454","48.9","25.55190","472","1,394","1,785","***","***","24,055","24,464","12,151","4,034","9,911","2,514","61,948","24,569","239","114"
"2015100000","2015","10210","Gumma-ken Tomioka-shi","","49,746","24,323","25,423","49,286","24,177","25,109","51.4","24.53389","391","1,068","1,226","***","***","18,496","21,209","8,887","547","9,559","493","50,364","18,255","178","81"
"2015100000","2015","10211","Gumma-ken Annaka-shi","","58,531","28,569","29,962","58,130","28,399","29,731","52.7","24.43820","371","1,113","1,341","***","***","22,607","22,045","11,420","1,044","7,759","478","54,304","22,381","203","91"
"2015100000","2015","10212","Gumma-ken Midori-shi","","50,906","24,974","25,932","50,324","24,744","25,580","46.9","25.04494","438","1,508","1,484","***","***","17,626","15,462","15,069","1,076","9,526","609","44,896","18,867","213","96"
"2015100000","2015","10344","Gumma-ken Shinto-mura","","14,329","7,314","7,015","14,197","7,249","6,948","44.8","27.70860","123","827","810","***","***","4,449","4,128","5,036","201","2,313","79","11,484","4,887","65","23"
"2015100000","2015","10345","Gumma-ken Yoshioka-machi","","21,080","10,334","10,746","20,958","10,290","10,668","43.1","25.21549","84","803","683","***","***","7,090","4,895","8,210","268","3,451","28","16,081","7,289","99","40"
"2015100000","2015","10366","Gumma-ken Ueno-mura","","1,230","609","621","1,215","609","606","61.8","20.30965","15","49","69","***","***","544","598","80","5","110","9","1,264","578","9","1"
"2015100000","2015","10367","Gumma-ken Kanna-machi","","1,954","928","1,026","1,949","928","1,021","67.7","16.15674","5","35","54","***","***","1,112","666","137","38","311","38","2,128","903","3","0"
"2015100000","2015","10382","Gumma-ken Shimonita-machi","","7,564","3,708","3,856","7,541","3,702","3,839","62.7","21.23220","23","124","202","***","***","3,338","2,524","1,572","93","1,230","19","7,148","3,040","21","8"
"2015100000","2015","10383","Gumma-ken Nammoku-mura","","1,979","927","1,052","1,974","926","1,048","70.6","17.74530","5","28","75","***","***","1,150","426","391","9","164","2","1,745","953","7","2"
"2015100000","2015","10384","Gumma-ken Kanra-machi","","13,200","6,461","6,739","13,148","6,439","6,709","52.5","23.90876","50","292","348","***","***","4,545","4,138","4,118","193","2,288","88","11,265","4,539","39","10"
"2015100000","2015","10421","Gumma-ken Nakanojo-machi","","16,850","8,203","8,647","16,683","8,145","8,538","56.6","23.84829","161","402","512","***","***","6,668","6,348","3,673","89","2,848","54","15,990","6,529","51","22"
"2015100000","2015","10424","Gumma-ken Naganohara-machi","","5,536","2,784","2,752","5,502","2,769","2,733","54.2","22.60343","34","223","273","***","***","1,764","2,712","836","66","1,416","202","6,252","2,322","21","15"
"2015100000","2015","10425","Gumma-ken Tsumagoi-mura","","9,780","5,063","4,717","9,489","4,821","4,668","53.8","23.41598","288","243","365","***","***","3,161","5,568","889","139","564","287","9,603","3,664","25","13"
"2015100000","2015","10426","Gumma-ken Kusatsu-machi","","6,518","3,261","3,257","6,383","3,213","3,170","56.4","26.34306","127","337","370","***","***","2,109","3,787","408","45","846","91","7,002","3,275","27","20"
"2015100000","2015","10428","Gumma-ken Takayama-mura","","3,674","1,786","1,888","3,656","1,782","1,874","54.2","22.43193","17","73","105","***","***","1,309","1,228","1,099","25","518","1","3,069","1,167","14","4"
"2015100000","2015","10429","Gumma-ken Higashiagatsuma-machi","","14,033","6,774","7,259","13,899","6,750","7,149","57.4","24.26581","134","264","474","***","***","5,510","5,406","2,995","94","2,691","50","13,685","5,235","43","14"
"2015100000","2015","10443","Gumma-ken Katashina-mura","","4,390","2,111","2,279","4,375","2,106","2,269","56.9","20.12674","15","90","134","***","***","1,378","2,401","522","45","377","34","4,234","1,554","15","6"
"2015100000","2015","10444","Gumma-ken Kawaba-mura","","3,647","1,661","1,986","3,640","1,659","1,981","59.6","19.03125","7","58","92","***","***","1,577","1,146","900","18","884","13","3,626","980","9","5"
"2015100000","2015","10448","Gumma-ken Showa-mura","","7,347","3,661","3,686","7,011","3,508","3,503","50.9","22.83931","335","146","204","***","***","2,200","3,350","1,710","50","1,542","38","7,167","2,476","19","12"
"2015100000","2015","10449","Gumma-ken Minakami-machi","","19,347","9,298","10,049","19,169","9,221","9,948","57.0","23.92112","177","425","643","***","***","7,329","8,315","3,319","224","2,372","125","18,301","7,594","56","33"
"2015100000","2015","10464","Gumma-ken Tamamura-machi","","36,654","17,920","18,734","36,030","17,639","18,391","45.8","28.22243","528","1,165","1,358","***","***","11,405","9,898","12,123","1,353","8,190","715","32,083","14,337","161","61"
"2015100000","2015","10521","Gumma-ken Itakura-machi","","15,015","7,477","7,538","14,926","7,429","7,497","50.7","28.41314","87","283","378","***","***","4,797","5,101","2,276","2,298","1,895","2,254","14,590","5,365","34","14"
"2015100000","2015","10522","Gumma-ken Meiwa-machi","","11,044","5,540","5,504","10,911","5,485","5,426","48.3","25.99646","131","383","338","***","***","4,051","2,965","2,522","1,353","3,180","1,636","11,985","3,914","48","22"
"2015100000","2015","10523","Gumma-ken Chiyoda-machi","","11,318","5,659","5,659","11,063","5,549","5,514","47.5","25.11495","241","314","326","***","***","4,201","3,099","2,847","929","3,595","1,341","12,478","3,981","45","22"
"2015100000","2015","10524","Gumma-ken Oizumi-machi","","41,202","21,872","19,330","35,068","18,544","16,524","43.3","31.58520","6,032","1,658","1,661","***","***","14,293","12,887","9,232","2,723","9,296","3,237","41,780","18,070","189","77"
"2015100000","2015","10525","Gumma-ken Ora-machi","","26,426","13,285","13,141","26,056","13,111","12,945","48.7","25.64805","342","578","733","***","***","9,690","6,925","6,710","2,219","4,436","2,408","24,341","9,528","85","43"
"2015100000","2015","11100","Saitama-ken Saitama-shi","","1,263,979","627,238","636,741","1,231,350","611,137","620,213","44.4","29.21458","13,776","70,735","63,814","***","***","420,798","268,152","212,290","208,758","280,020","52,628","1,175,579","533,209","6,692","2,038"
"2015100000","2015","11101","Saitama-ken Saitama-shi Nishi-ku","","87,146","42,913","44,233","86,176","42,465","43,711","45.9","26.79347","552","4,095","3,324","***","***","32,247","19,300","16,830","9,940","14,659","1,075","76,110","33,871","437","150"
"2015100000","2015","11102","Saitama-ken Saitama-shi Kita-ku","","143,446","71,102","72,344","138,725","68,827","69,898","43.8","29.36751","1,154","8,652","8,744","***","***","47,491","32,777","25,738","21,787","29,698","4,087","129,706","61,756","796","220"
"2015100000","2015","11103","Saitama-ken Saitama-shi Omiya-ku","","113,864","56,457","57,407","108,530","53,769","54,761","45.7","29.37737","1,354","7,706","7,062","***","***","37,248","24,382","16,538","20,011","66,538","16,493","160,346","53,265","669","172"
"2015100000","2015","11104","Saitama-ken Saitama-shi Minuma-ku","","161,960","79,696","82,264","158,121","77,871","80,250","46.0","28.03281","1,762","7,149","6,593","***","***","58,375","34,749","30,700","20,309","17,444","3,613","132,008","65,666","696","279"
