"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.22, 2020"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","","F1101","F1102","F1103","F1104","F1105","F1106","F1107","F110701","F110702","F1108","F1109","F1110","F1111","F2401","F2402","F2403","F2404","F2705","F270501","F270502"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","F1101_(Population census) Population in labour force[person]","F1102_(Population census) Employed persons[person]","F1103_(Population census) Employed persons, mostly worked[person]","F1104_(Population census) Employed persons, worked besides doing housework[person]","F1105_(Population census) Employed persons, working besides mainly attending school[person]","F1106_(Population census) Employed persons, Absent from work[person]","F1107_(Population census) Unemployed persons[person]","F110701_(Population census) Unemployed persons (Male)[person]","F110702_(Population census) Unemployed persons (Female)[person]","F1108_(Population census) Population not in labour force[person]","F1109_(Population census) Population not in labour force, doing housework[person]","F1110_(Population census) Population not in labour force, attending school[person]","F1111_(Population census) Population not in labour force, others[person]","F2401_(Population census) No. of employees[person]","F2402_No. of board member of company, etc.[person]","F2403_No. of self-employed, employing others[person]","F2404_No. of self-employed, not employing others[person]","F2705_Commuters to other municipalities[person]","F270501_Commuters to other municipalities (Male)[person]","F270502_Commuters to other municipalities (Female)[person]"
"2015100000","2015","01220","Hokkaido Shibetsu-shi","","9820","9507","7897","1435","27","148","313","191","122","7773","2417","647","4709","6728","468","273","910","771","515","256"
"2015100000","2015","01221","Hokkaido Nayoro-shi","","14828","14377","12160","1785","241","191","451","289","162","10132","3369","1231","5532","11220","567","362","915","881","647","234"
"2015100000","2015","01222","Hokkaido Mikasa-shi","","3647","3400","2952","397","10","41","247","169","78","4719","1267","346","3106","2803","165","69","190","1161","713","448"
"2015100000","2015","01223","Hokkaido Nemuro-shi","","14418","13876","11794","1855","27","200","542","353","189","8907","3029","793","5085","9745","734","590","1035","153","126","27"
"2015100000","2015","01224","Hokkaido Chitose-shi","","47948","46015","39117","5690","671","537","1933","1209","724","29641","11364","4532","13745","40093","1299","511","1507","8105","5413","2692"
"2015100000","2015","01225","Hokkaido Takikawa-shi","","19610","18850","16044","2447","149","210","760","501","259","15751","5619","1655","8477","15268","915","366","1111","4950","3205","1745"
"2015100000","2015","01226","Hokkaido Sunagawa-shi","","8064","7740","6575","1023","43","99","324","215","109","7444","2341","648","4455","6258","408","194","482","2395","1450","945"
"2015100000","2015","01227","Hokkaido Utashinai-shi","","1421","1306","1134","156","3","13","115","86","29","1947","453","90","1404","1148","60","14","66","662","398","264"
"2015100000","2015","01228","Hokkaido Fukagawa-shi","","10300","10006","8468","1319","102","117","294","183","111","9414","2864","923","5627","7242","506","314","904","1389","937","452"
"2015100000","2015","01229","Hokkaido Furano-shi","","12277","11843","10074","1562","58","149","434","286","148","7598","2314","847","4437","8549","501","348","1012","1056","715","341"
"2015100000","2015","01230","Hokkaido Noboribetsu-shi","","22277","21048","17764","2876","132","276","1229","794","435","20246","7077","1965","11204","18038","1042","343","883","9296","6097","3199"
"2015100000","2015","01231","Hokkaido Eniwa-shi","","33235","31646","25984","4469","790","403","1589","1002","587","25067","9391","4369","11307","27393","1067","407","1290","12272","8017","4255"
"2015100000","2015","01233","Hokkaido Date-shi","","16890","16124","13743","2098","50","233","766","500","266","14031","4362","1322","8347","12770","752","431","1222","3827","2655","1172"
"2015100000","2015","01234","Hokkaido Kitahiroshima-shi","","27459","26266","21101","4261","503","401","1193","791","402","22931","8311","3383","11237","22277","1261","337","1407","14100","9156","4944"
"2015100000","2015","01235","Hokkaido Ishikari-shi","","27382","26136","21077","4214","443","402","1246","849","397","20616","7746","2454","10416","20729","1443","488","1711","11917","7789","4128"
"2015100000","2015","01236","Hokkaido Hokuto-shi","","22887","21715","18206","3085","159","265","1172","678","494","16027","5549","2030","8448","17492","939","527","1304","10053","5809","4244"
"2015100000","2015","01303","Hokkaido Tobetsu-cho","","8613","8131","6539","1286","219","87","482","314","168","6704","2224","1460","3020","6060","396","172","748","3423","2218","1205"
"2015100000","2015","01304","Hokkaido Shinshinotsu-mura","","1591","1569","1291","249","7","22","22","15","7","1303","282","314","707","774","62","65","212","222","135","87"
"2015100000","2015","01331","Hokkaido Matsumae-cho","","3381","3251","2621","569","0","61","130","97","33","3407","1272","201","1934","2564","114","120","299","293","269","24"
"2015100000","2015","01332","Hokkaido Fukushima-cho","","2042","1886","1522","334","5","25","156","138","18","2049","685","120","1244","1396","73","87","182","285","217","68"
"2015100000","2015","01333","Hokkaido Shiriuchi-cho","","2539","2441","1990","400","1","50","98","79","19","1606","596","150","860","1781","80","106","180","398","236","162"
